Name,Corporation,Type,Address,Phone,lat,lng,Price,1 Bedroom,2 Bedroom,3 Bedroom,4+ Bedroom,Communal Bathroom,Single Bathroom,Multi Bathroom,Air Conditioning,Pets,Laundry,Transportation
Latah Apartments,KIP Development,Commercial Apartment,"1016 SE Latah Street, Pullman WA",509-334-7444,46.7251691,-117.1671911,700-800,No,Yes,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Clark Terrace Apartments,KIP Development,Commercial Apartment,"150 NW Terreview Drive, Pullman WA",509-334-7444,46.7508041,-117.1741284,800-900,No,No,Yes,o,No,Yes,No,No,No,In Room Laundry,Yes
Wil-Ru Apartments,Wil-Ru Apartments,Commercial Apartment,"1615 SE Bleasner Dr, Pullman WA",509-332-5631,46.7199068,-117.1620153,500-900,Yes,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Cougar Crest Apartments,Cougar Crest Apartments,Commercial Apartment,"2055 NE Skyview Dr, Pullman WA",509-334-6028,46.7464377,-117.1534541,1100-1500,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Communal Laundry,Yes
Campus Commons,Campus Commons,Commercial Apartment,"1920 NE Terre View Dr, Pullman WA",509-332-6814,46.744763,-117.156874,300-800,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Communal Laundry,Yes
Aspen Village,DABCO,Commercial Apartment,"1620 NE Northwood Dr, Pullman WA",509-334-6266,46.744856,-117.148123,600-800,Yes,Yes,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Birch Hills,DABCO,Commercial Apartment,"2200 NE Westwood Dr, Pullman WA",509-334-6266,46.748843,-117.150201,400-1500,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Communal Laundry,Yes
Churchill Downs,DABCO,Commercial Apartment,"1365 NE Brandi Way, Pullman WA",509-334-6266,46.740912,-117.164768,600-1500,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Communal Laundry,Yes
Emerald Downs,DABCO,Commercial Apartment,"910 NE Providence Ct, Pullman WA",509-334-6266,46.740041,-117.166366,400-1500,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Communal Laundry,Yes
Maple Valley,DABCO,Commercial Apartment,"2290 NE Westwood Dr, Pullman WA",509-334-6266,46.746876,-117.146438,600-1200,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Communal Laundry,Yes
