Apartment Name,Corporation,Type,Address,Phone,lat,lng,1 Bedroom,2 Bedroom,3 Bedroom,Single Bathroom,Multi Bathroom,Has A.C.,Pets,Laundry
Latah Apartments,KIP Development,Commercial Apartment,"1016 SE Latah Street, Pullman WA",509-334-7444,46.7251691,-117.1671911,y,y,y,y,n,y,Cats,y
Shoemaker Place Apartments,KIP Development,Commercial Apartment,,509-334-7444,,,y,y,y,y,n,y,Dogs,y
Clark Terrace Apartments,KIP Development,Commercial Apartment,"150 NW Terreview Drive, Pullman WA",509-334-7444,46.7508041,-117.1741284,y,n,y,y,n,y,Dogs,y
Wil-Ru Apartments,Wil-Ru Apartments,Commercial Apartment,"1615 SE Bleasner Dr, Pullman WA",509-332-5631,46.7199068,-117.1620153,y,n,n,n,y,y,Cats,y
Cougar Creast Apartments,Cougar Creast Apartments,Commercial Apartment,"2055 NE Skyview Dr, Pullman WA",509-334-6028,46.7464377,-117.1534541,y,n,n,n,y,y,Cats,n
Campus Commons,Campus Commons,Commercial Apartment,"1920 NE Terre View Dr, Pullman WA",509-332-6814,46.744763,-117.156874,y,n,y,y,n,n,Cats,n
Aspen Village,DABCO,Commercial Apartment,"1620 NE Northwood Dr, Pullman WA",509-334-6266,46.744856,-117.148123,y,n,y,y,n,n,Cats,n
Birch Hills,DABCO,Commercial Apartment,"2200 NE Westwood Dr, Pullman WA",509-334-6266,46.748843,-117.150201,y,n,y,y,n,n,Cats,n
Churchill Downs,DABCO,Commercial Apartment,"1365 NE Brandi Way, Pullman WA",509-334-6266,46.740912,-117.164768,y,n,y,y,n,n,Cats,y
Emerald Downs,DABCO,Commercial Apartment,"910 NE Providence Ct, Pullman WA",509-334-6266,46.740041,-117.166366,y,n,y,y,y,n,Cats,y
Maple Valley,DABCO,Commercial Apartment,"2290 NE Westwood Dr, Pullman WA",509-334-6266,46.746876,-117.146438,y,n,y,y,y,n,Cats,y
Pine Ridge,DABCO,Commercial Apartment,"1890 NE Merman Dr, Pullman WA",509-334-6266,46.747345,-117.150929,y,y,y,y,y,n,Cats,y
PP   B,DABCO,Commercial Apartment,1037 D St.,509-334-6266,46.735791,-117.166005,y,y,y,y,n,n,Cats,n
Providence Court,DABCO,Commercial Apartment,"880 NE Providence Ct, Pullman WA",509-334-6266,46.739342,-117.167778,y,y,n,y,n,n,Cats,n
Schalimar,DABCO,Commercial Apartment,1100 Stadium Way,509-334-6266,46.737574,-117.166426,y,y,n,y,n,n,Cats,n
Valleyford,DABCO,Commercial Apartment,1205 NE Valley Rd,509-334-6266,46.738971,-117.16606,y,y,n,n,n,n,Cats,n
Cedar Ridge,"Summerhill Rentals, LLC",Commercial Apartment,1440 NE Merman Drive,509-334-6408,46.742756,-117.156529,y,y,n,n,n,n,Cats,y
Meadow Brook,"Summerhill Rentals, LLC",Commercial Apartment,1535 NE Merman Dr,509-334-6408,46.745006,-117.154009,y,y,n,n,n,y,Dogs,y
Summer Hill,"Summerhill Rentals, LLC",Commercial Apartment,1915 Terre View Dr,509-334-6408,46.743734,-117.155899,y,y,n,n,n,y,Dogs,y
Boulder Creek,"Summerhill Rentals, LLC",Commercial Apartment,1545 NE Merman Dr,509-334-6408,46.744863,-117.153919,y,y,n,n,n,y,Dogs,y
Terre View Crossing Apartments,Terre View Crossing Apartments,Commercial Apartment,1540 NE Merman Dr,509-332-3410,46.74362,-117.151695,y,n,y,n,n,y,Dogs,y
The Laurel Apartments,Washington Apartment Rentals,Commercial Apartment,1585 NW Turner Dr,509-332-8622,46.744288,-117.175422,y,n,y,n,n,n,Dogs,n
The West View Terrace Apartments,Washington Apartment Rentals,Commercial Apartment,1130 Markly Dr,509-332-8622,46.738529,-117.17255,y,n,y,n,n,n,Dogs,n
The Cougar Apartments,Washington Apartment Rentals,Commercial Apartment,205 NW Larry Street,509-332-8622,46.746955,-117.175419,y,y,y,n,n,n,Dogs,n
The Elysian Fourplexes,Washington Apartment Rentals,Commercial Apartment,1122 E. 3rd Street,509-332-8622,46.795928,-117.251224,y,y,y,n,n,n,Dogs,n
The Aegis Apartments,Washington Apartment Rentals,Commercial Apartment,1610 NE Wheatland Dr ,509-332-8622,46.739407,-117.160456,y,y,y,n,n,n,Dogs,y
The Morton Street Apartments,Washington Apartment Rentals,Commercial Apartment,545 NE Morton Street,509-332-8622,46.731857,-117.173441,y,n,y,n,n,y,Dogs,y
The Valley View Apartments,Washington Apartment Rentals,Commercial Apartment,1325 NE Valley Rd,509-332-8622,46.740132,-117.162707,y,n,y,n,n,y,Dogs,y
Earthtone Properties,Earthtone Properties,Commercial Apartment,1400 SE Fancy Free Dr,,46.713838,-117.16843,y,n,n,y,n,y,All Animals,y
Glendimer Apartments,Glendimer Apartments,Commercial Apartment,125 NW Larry St,,46.746864,-117.173154,y,n,n,y,n,y,All Animals,n
Heritage Realty LLC ,Heritage Realty LLC ,Commercial Apartment,1045 N Grand Ave,,46.738475,-117.174354,y,n,n,y,n,n,All Animals,n
RE/MAX Home and Land,RE/MAX Home and Land,Commercial Apartment,710 SE Bishop Blvd,,46.7143,-117.172785,y,n,n,n,n,n,All Animals,n
College Crest,College Crest,Commercial Apartment,1555 NE Merman Dr,,46.743996,117.152786,y,y,n,n,n,n,All Animals,n
Highland Property Management,Highland Property Management,Commercial Apartment,252 E Main St,,46.729977,-117.18027,y,y,y,y,n,n,All Animals,y
Palouse Trace   Terre View Apartments,Palouse Trace   Terre View Apartments,Commercial Apartment,375 NE Terre View Dr,,46.748151,-117.170455,y,y,y,n,n,y,All Animals,y
Summit Realty,Summit Realty,Commercial Apartment,125 SE High St,,46.729355,-117.181832,y,y,y,y,n,y,All Animals,y
Crimson Properties,Crimson Properties,Commercial Apartment,1016 SE Latah St,,46.725169,-117.167191,y,y,y,n,n,y,All Animals,y
Maiden Properties,Maiden Properties,Commercial Apartment,640 NE Maiden Ln #6,509-332-2151,46.732568,-117.173013,y,y,n,y,n,y,All Animals,n
The Grove,Campus Crest,Commercial Apartment,,,46.7314423,-117.1665643,y,n,n,y,y,n,All Animals,n
Chief Joseph Village,Washington State University,University Apartment,2025 NE Terre View Dr,,46.742963,-117.155039,y,n,n,y,n,n,All Animals,n
Chinook Village,Washington State University,University Apartment,710 SE Chinook Dr,,46.724282,-117.15974,y,y,n,y,y,n,All Animals,n
Columbia Village,Washington State University,University Apartment,540 SE Forest Way,,46.725896,-117.160239,y,n,n,y,y,n,All Animals,y
Nez Perce Village,Washington State University,University Apartment,NE North Fairway Dr,509-335-7732,46.739811,-117.152651,y,n,n,y,y,n,All Animals,y
Kamiak,Washington State University,University Apartment,1650 NE Valley Rd,509-335-1227,46.740258,-117.161272,y,n,n,n,n,y,All Animals,y
Steptoe Village,Washington State University,University Apartment,1630 NE Valley Rd,,46.740043,-117.163292,y,n,y,y,n,y,All Animals,y
